Id;Hora de inacio;Hora de conclusao;Email;Nome;Qual a a sua identidade de ganero?;Qual disciplina voca esta cursando?;a sua primeira vez cursando a disciplina?;Voca apresenta algum transtorno neurobiolagico? (TDAH, TEA, distarbios da aprendizagem, entre outros);Menaaes (Exemplo: MMaou MS)..Selecione;Visualizar o gabarito de cada questao..Selecione;Exibir a explicaaao correspondente ao gabarito de cada questao..Selecione;Indicaaao do material de estudo necessario para revisaes do conteado..Selecione;Visualizar os temas dos conteados que tiveram baixa taxa de acerto por meio de indicaaaes textuais..Selecione;Visualizar um grafico com uma divisao por temas em um conteado informando o desempenho na avaliaaao..Selecione;Reuniao com o professor da disciplina para discutir sobre o resultado na avaliaaao e receber um Feedback humano..Selecione;Relatario no formato PDF com um feedback descritivo do desempenho do aluno na avaliaaao.a.Selecione
50;07/11/2023 10:13;07/11/2023 10:27;anonymous;anonymous;Masculino.;Requisitos de Software.;Nao.;Nao.;5;4;5;4;4;1;3;2
51;07/11/2023 10:23;07/11/2023 10:27;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Sim.;5;5;5;4;5;5;5;4
52;07/11/2023 10:27;07/11/2023 10:28;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;5;5;5;5;5;5;5;5
53;07/11/2023 10:11;07/11/2023 10:37;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao.;5;3;3;3;3;5;5;5
54;07/11/2023 10:11;07/11/2023 10:41;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Sim.;5;5;5;5;5;5;5;5
55;07/11/2023 10:20;07/11/2023 10:41;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;4;5;5;5;5;4;1;1
56;07/11/2023 10:40;07/11/2023 10:41;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;5;5;5;5;4;4;3;3
57;07/11/2023 10:15;07/11/2023 10:41;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;4;5;5;5;5;5;3;5
58;07/11/2023 10:40;07/11/2023 10:42;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;5;5;3;4;3;3;4
59;07/11/2023 10:40;07/11/2023 10:42;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;4;5;5;3;2;2;3;3
60;07/11/2023 10:42;07/11/2023 10:46;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;5;5;5;4;4;2
61;07/11/2023 10:43;07/11/2023 10:47;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;5;5;5;4;4;2
62;07/11/2023 15:53;07/11/2023 15:54;anonymous;anonymous;Masculino.;Matodos de Desenvolvimento de Software.;Sim.;Sim.;5;5;4;2;5;5;4;5
63;07/11/2023 15:53;07/11/2023 15:54;anonymous;anonymous;Masculino.;Matodos de Desenvolvimento de Software.;Sim.;Nao.;5;5;5;4;4;3;3;4
64;07/11/2023 15:53;07/11/2023 15:55;anonymous;anonymous;Masculino.;Matodos de Desenvolvimento de Software.;Sim.;Nao Sei.;4;5;5;5;5;3;4;4
65;07/11/2023 15:53;07/11/2023 15:55;anonymous;anonymous;Masculino.;Matodos de Desenvolvimento de Software.;Sim.;Nao Sei.;4;5;5;5;5;4;5;4
66;07/11/2023 15:56;07/11/2023 15:57;anonymous;anonymous;Masculino.;Matodos de Desenvolvimento de Software.;Sim.;Nao.;5;5;5;5;5;5;3;5
67;07/11/2023 15:56;07/11/2023 15:57;anonymous;anonymous;Masculino.;Matodos de Desenvolvimento de Software.;Sim.;Nao.;5;5;5;5;5;5;5;5
68;07/11/2023 15:53;07/11/2023 15:58;anonymous;anonymous;Masculino.;Matodos de Desenvolvimento de Software.;Sim.;Sim.;5;5;5;4;3;2;1;3
69;07/11/2023 15:56;07/11/2023 15:59;anonymous;anonymous;Masculino.;Matodos de Desenvolvimento de Software.;Sim.;Nao.;5;5;5;4;3;3;3;4
70;07/11/2023 15:58;07/11/2023 15:59;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;5;5;4;5;5;3
71;07/11/2023 16:12;07/11/2023 16:13;anonymous;anonymous;Masculino.;Matodos de Desenvolvimento de Software.;Nao.;Nao.;3;5;4;4;3;3;1;1
72;07/11/2023 17:39;07/11/2023 17:42;anonymous;anonymous;Masculino.;Matodos de Desenvolvimento de Software.;Sim.;Nao.;3;3;2;2;2;2;2;2
